,x_emb,y_emb,t,name,house,good_bad,degree,main,id
293,1.4322555,-1.9272137,5,Nymphadora Tonks,h,bad,2,0,38
294,0.4565471,-1.3168505,5,Dolores Janes Umbridge,n,good,12,0,39
295,3.583188,-1.1488615,5,Arthur Weasley,g,bad,2,0,40
296,-0.47298416,-2.7081935,5,Bill Weasley,g,bad,1,0,41
297,-0.2794633,-2.7520967,5,Charlie Weasley,g,bad,1,0,42
298,0.033583175,-2.4621549,5,Fred Weasley,g,bad,3,0,43
299,0.09491743,-2.4198794,5,George Weasley,g,bad,3,0,44
300,0.04632699,-2.530564,5,Ginny Weasley,g,bad,2,0,45
301,2.376607,-1.6390108,5,Molly Weasley,g,bad,3,0,46
302,1.7648216,-1.1780453,5,Ron Weasley,g,bad,14,0,47
303,3.8508604,-1.3982229,5,Dobby,n,bad,5,0,48
304,1.215171,-1.1937385,5,Fluffy,n,good,4,0,49
305,1.32175,-1.1464348,5,Aragog,n,good,4,0,50
306,1.8961713,-2.2715523,6,Regulus Arcturus Black,s,bad,4,0,0
307,1.9116311,-2.3420794,6,Sirius Black,g,bad,12,0,1
308,0.16128248,-1.5011523,6,Lavender Brown,g,good,1,0,2
309,-0.5203879,-2.8033075,6,Cho Chang,r,bad,1,0,3
310,0.7169595,-1.1694452,6,Vincent Crabbe,s,good,3,0,4
311,-2.8940349,-3.307323,6,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
312,-2.5114026,-3.2640402,6,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
313,3.2151575,-1.5104221,6,Fleur Delacour,n,bad,1,0,7
314,-0.442127,-2.7846072,6,Cedric Diggory,h,bad,1,0,8
315,0.9459511,-1.1928962,6,Albus Dumbledore,g,bad,18,1,9
316,0.46843955,-1.8312536,6,Dudley Dursley,m,good,2,0,10
317,0.6420623,-1.3590423,6,Petunia Dursley,m,good,4,0,11
318,1.070308,-1.157178,6,Vernon Dursley,m,good,3,0,12
319,0.18672708,-2.227305,6,Argus Filch,n,good,10,0,13
320,2.7216694,-1.0479352,6,Cornelius Fudge,n,good,3,0,14
321,1.1138465,-1.1190231,6,Gregory Goyle,s,good,3,0,15
322,0.10659323,-1.4430465,6,Hermione Granger,g,bad,19,1,16
323,-0.15799984,-2.5275724,6,Rubeus Hagrid,g,bad,3,0,17
324,-0.34938756,-2.869314,6,Igor Karkaroff,n,bad,1,0,18
325,3.535548,-1.7291584,6,Bellatrix Lestrange,s,good,11,0,19
326,-0.3487966,-2.564274,6,Frank Longbottom,g,bad,1,0,20
327,1.0341468,-1.6586262,6,Neville Longbottom,g,bad,2,0,21
328,0.0928654,-2.6036272,6,Remus Lupin,g,bad,2,0,22
329,2.0003521,-1.1671405,6,Draco Malfoy,s,good,7,0,23
330,3.6456091,-1.3313745,6,Lucius Malfoy,s,good,7,0,24
331,1.9405704,-2.2644153,6,Narcissa Malfoy,s,good,1,0,25
332,-0.96339726,-2.4975622,6,Minerva McGonagall,g,bad,6,0,26
333,-2.9123983,-3.496327,6,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
334,0.7700964,-2.1676219,6,Peter Pettigrew,g,good,19,1,28
335,1.0004499,-1.212379,6,Harry Potter,g,bad,22,1,29
336,0.39641723,-2.5651727,6,James Potter,g,bad,7,0,30
337,0.12101435,-2.3288405,6,Lily Potter,g,bad,5,0,31
338,0.14683284,-1.4329786,6,Quirinus Quirrell,r,good,11,0,32
339,-0.6237356,-3.0316885,6,Tom Riddle Sr.,m,bad,5,0,33
340,-0.095390685,-2.6339045,6,Mary Riddle,m,bad,1,0,34
341,-0.72053313,-3.1951287,6,Lord Voldemort,s,good,37,1,35
342,0.9936969,-1.2096452,6,Rita Skeeter,n,good,5,0,36
343,-1.1284146,-3.0687187,6,Severus Snape,s,bad,4,0,37
344,1.7952785,-1.9803238,6,Nymphadora Tonks,h,bad,2,0,38
345,0.43197167,-1.2999846,6,Dolores Janes Umbridge,n,good,12,0,39
346,3.9664683,-1.1323668,6,Arthur Weasley,g,bad,2,0,40
347,-0.7277486,-2.8750286,6,Bill Weasley,g,bad,1,0,41
348,-0.4023025,-2.8746448,6,Charlie Weasley,g,bad,1,0,42
349,0.06003257,-2.4600632,6,Fred Weasley,g,bad,3,0,43
350,0.024890771,-2.54952,6,George Weasley,g,bad,3,0,44
351,0.0056054983,-2.6296086,6,Ginny Weasley,g,bad,2,0,45
352,2.4498303,-1.7112035,6,Molly Weasley,g,bad,3,0,46
353,1.7584548,-1.1353956,6,Ron Weasley,g,bad,14,0,47
354,3.96524,-1.2828666,6,Dobby,n,bad,5,0,48
355,1.2728561,-1.0506141,6,Fluffy,n,good,4,0,49
356,1.4777741,-1.068679,6,Aragog,n,good,4,0,50
357,1.943569,-2.5071306,7,Regulus Arcturus Black,s,bad,4,0,0
358,1.9382298,-2.516426,7,Sirius Black,g,bad,12,0,1
359,0.19336285,-1.351685,7,Lavender Brown,g,good,1,0,2
360,-0.50115514,-2.8309755,7,Cho Chang,r,bad,1,0,3
361,0.7358011,-1.1729978,7,Vincent Crabbe,s,good,3,0,4
362,-3.1579978,-3.5179238,7,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
363,-2.9710422,-3.294593,7,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
364,3.5308638,-1.6338527,7,Fleur Delacour,n,bad,1,0,7
365,-0.5605986,-2.9755425,7,Cedric Diggory,h,bad,1,0,8
366,0.8722853,-1.1505082,7,Albus Dumbledore,g,bad,18,1,9
367,0.47654855,-1.9226332,7,Dudley Dursley,m,good,2,0,10
368,0.69780326,-1.3070152,7,Petunia Dursley,m,good,4,0,11
369,1.1482847,-1.0638928,7,Vernon Dursley,m,good,3,0,12
370,0.37220392,-2.2473207,7,Argus Filch,n,good,10,0,13
